Method,Dataset,AvgValAcc,ValDeviation,AvgTestAcc,Deviation,ELI,AdjHom,NMI,EdgesModified,SameClassEdges,DiffClassEdges,SameClassSameCommunityBefore,SameClassDiffCommunityBefore,DiffClassSameCommunityBefore,DiffClassDiffCommunityBefore,SameClassSameCommunityAfter,SameClassDiffCommunityAfter,DiffClassSameCommunityAfter,DiffClassDiffCommunityAfter,FinalGap,HiddenDim,LR,Dropout,GCNTime
proxydelmax,Cora,83.30,0.50,84.68,0.58,0.5802592656356071,0.7637005121252423,0.485039301338041,10,10,0,10,0,0,0,10,0,0,0,0.007307082537308164,32,0.01,0.0,13.002037286758423
proxydelmax,amazon_ratings.npz,41.51,0.19,41.44,0.22,0.039767270134040134,0.14023015893977192,0.04957756953097212,10,8,2,8,0,2,0,8,0,2,0,0.00010504570613709318,32,0.01,0.0,14.050407409667969
GCN (orginal Graph),amazon_ratings.npz,40.81,0.19,41.57,0.18,0.039767270134040134,0.14023015893977192,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0.01,0.0,14.047239780426025
GCN (orginal Graph),COCO-SP,72.45,1.28,0.00,0.00,0.2511276434785157,0.5310305382672497,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0.01,0.0,12.92802119255066
GCN (orginal Graph),COCO-SP,62.96,1.42,0.00,0.00,0.2511276434785157,0.5310305382672497,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0.01,0.0,13.210371494293213
GCN (orginal Graph),COCO-SP,71.43,2.11,67.66,1.58,0.2511276434785157,0.5310305382672497,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0.01,0.0,12.96696424484253
proxydelmax,COCO-SP,70.41,1.59,68.96,1.28,0.2511276434785157,0.5310305382672497,0.17125654274976312,10,10,0,10,0,0,0,10,0,0,0,0.005052387081022605,32,0.01,0.0,12.81654953956604
proxyaddmax,COCO-SP,63.27,1.61,69.20,1.17,0.2511276434785157,0.5310305382672497,0.15221813808984888,10,7,3,0,7,0,3,0,7,0,3,0.015177467172099569,32,0.01,0.0,12.992250442504883
fosr,COCO-SP,71.43,1.65,66.83,1.34,0.24664980333651032,0.5262067955981882,0.18990901008435795,10,6,4,1,5,0,4,1,5,0,4,0.007359048314122858,32,0.01,0.0,12.500365257263184
,tolokers.npz,78.66,0.17,78.44,0.22,0.00662805629290375,0.09258381279220237,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0.01,0.0,15.488429069519043
